year,make_numeric,condition,odometer,color_numeric,states_numeric,mmr,sellingprice
2015,1,5.0,16639.0,1.0,1,20500.0,21500.0
2014,6,48.0,14414.0,3.0,1,47300.0,49750.0
2015,5,19.0,14538.0,5.0,1,24300.0,7200.0
2014,5,42.0,37888.0,2.0,1,11600.0,11500.0
2014,10,47.0,4436.0,2.0,1,49400.0,44000.0
2015,3,37.0,10906.0,5.0,1,31500.0,30000.0
2015,1,44.0,9684.0,1.0,1,41000.0,41000.0
2014,6,43.0,32918.0,3.0,1,62000.0,50000.0
2014,9,1.0,14599.0,2.0,1,31000.0,24100.0
2015,1,5.0,16348.0,2.0,1,20500.0,20500.0
2014,5,1.0,10673.0,4.0,1,14150.0,3300.0
2014,2,5.0,4503.0,1.0,1,57500.0,57250.0
2014,5,42.0,40560.0,2.0,1,12800.0,12800.0
2013,13,41.0,25859.0,6.0,1,22700.0,21750.0
2013,13,35.0,26888.0,1.0,1,22400.0,23250.0
2013,13,43.0,16154.0,2.0,1,23700.0,22750.0
2013,8,35.0,36307.0,2.0,1,11500.0,11700.0
2013,8,47.0,17367.0,3.0,1,21400.0,24100.0
2013,8,43.0,11809.0,3.0,1,14600.0,16100.0
2013,13,22.0,24054.0,2.0,1,22900.0,18750.0
2013,13,43.0,14887.0,2.0,1,23900.0,24500.0
2013,13,43.0,24031.0,6.0,1,22800.0,20500.0
2013,13,44.0,14486.0,7.0,1,23900.0,22000.0
2013,8,37.0,39062.0,6.0,1,12000.0,12200.0
2013,13,4.0,15260.0,5.0,1,23800.0,24500.0
2013,8,43.0,22143.0,4.0,1,17150.0,17100.0
2013,13,45.0,21557.0,1.0,1,23100.0,25250.0
2013,8,38.0,38594.0,2.0,1,11350.0,11800.0
2013,13,39.0,22828.0,3.0,1,22900.0,24500.0
2013,13,44.0,20263.0,3.0,1,23200.0,26000.0
2013,8,2.0,35518.0,4.0,1,12200.0,10700.0
2013,8,47.0,15813.0,13.0,1,10500.0,9500.0
2013,13,41.0,17672.0,3.0,1,23500.0,21500.0
2013,13,42.0,25016.0,1.0,1,22700.0,24750.0
2013,13,42.0,20408.0,2.0,1,23500.0,24000.0
2013,13,47.0,17203.0,4.0,1,23900.0,24750.0
2013,16,39.0,36071.0,5.0,1,14750.0,15000.0
2013,4,4.0,37020.0,4.0,1,13400.0,13600.0
2013,1,44.0,48050.0,5.0,1,15700.0,12750.0
2013,18,28.0,7273.0,6.0,1,15300.0,15000.0
2013,4,41.0,39364.0,5.0,1,12800.0,13500.0
2013,4,39.0,37395.0,1.0,1,13150.0,13400.0
2013,4,45.0,48463.0,1.0,1,12350.0,14000.0
2013,17,29.0,40275.0,2.0,1,12050.0,12200.0
2013,16,35.0,39473.0,2.0,1,14300.0,14700.0
2013,14,43.0,41997.0,3.0,1,24200.0,25250.0
2013,1,38.0,17689.0,9.0,1,13900.0,14800.0
2013,12,35.0,21189.0,5.0,1,34200.0,31900.0
2013,17,35.0,36898.0,2.0,1,12400.0,13100.0
2013,4,34.0,36975.0,4.0,1,13000.0,13500.0
2013,19,5.0,5403.0,2.0,1,38600.0,30500.0
2013,13,24.0,42547.0,3.0,1,20500.0,17250.0
2013,15,44.0,10862.0,3.0,1,57200.0,57250.0
2013,13,33.0,38131.0,4.0,1,21600.0,20000.0
2013,16,28.0,38311.0,4.0,1,9900.0,10100.0
2013,3,43.0,34933.0,1.0,1,21200.0,22900.0
2013,4,4.0,21826.0,4.0,1,13100.0,15250.0
2013,4,2.0,34469.0,1.0,1,9750.0,4000.0
2013,22,1.0,27525.0,10.0,1,11650.0,4900.0
2013,4,41.0,5997.0,4.0,1,15700.0,17250.0
2013,4,39.0,41214.0,2.0,1,14250.0,13400.0
2013,4,36.0,10688.0,3.0,1,12850.0,14500.0
2013,23,42.0,39437.0,15.0,1,26600.0,26500.0
2013,22,29.0,39162.0,1.0,1,11350.0,12100.0
2013,4,31.0,22654.0,3.0,1,23000.0,22800.0
2013,4,37.0,26505.0,6.0,1,11850.0,12100.0
2013,4,38.0,38775.0,4.0,1,10450.0,10900.0
2013,23,35.0,19377.0,2.0,1,11850.0,12400.0
2013,23,3.0,39900.0,1.0,1,28300.0,28000.0
2013,22,26.0,35303.0,2.0,1,13300.0,13300.0
2013,4,43.0,18366.0,2.0,1,9300.0,9500.0
2013,4,3.0,41841.0,2.0,1,16900.0,16700.0
2013,4,39.0,43769.0,5.0,1,10100.0,10900.0
2013,23,2.0,35516.0,5.0,1,11250.0,8200.0
2013,23,2.0,31300.0,5.0,1,13350.0,11200.0
2012,2,47.0,45443.0,3.0,1,29500.0,30500.0
2012,2,44.0,39628.0,3.0,1,42200.0,42000.0
2012,2,37.0,31762.0,3.0,1,45000.0,45000.0
2012,2,44.0,24506.0,6.0,1,33800.0,33000.0
2012,2,48.0,14910.0,2.0,1,30700.0,31500.0
2012,2,38.0,22845.0,1.0,1,50000.0,52500.0
2012,2,44.0,19411.0,2.0,1,26600.0,27250.0
2012,2,35.0,24380.0,3.0,1,24100.0,35500.0
2012,2,43.0,34966.0,1.0,1,34000.0,32500.0
2012,11,39.0,43807.0,3.0,1,17300.0,17900.0
2012,2,28.0,13661.0,3.0,1,29400.0,28250.0
2012,2,43.0,33965.0,6.0,1,23200.0,22750.0
2012,2,37.0,45540.0,6.0,1,42800.0,40750.0
2012,2,4.0,36013.0,3.0,1,21900.0,21000.0
2012,2,41.0,53746.0,3.0,1,38800.0,39500.0
